No,지역,유형,보증금,면적(m²),면적(평),층,방수,욕실수,향,설명,중개사,출처,등록일,링크
21,홍제동,빌라,2.1억,57,17.2,3층/4층,3,1,남서향,전세 2.1억 방3 화1 17평,,네이버,2026-06-16,https://new.land.naver.com
22,홍제동,빌라,2.1억,55,16.6,3층/4층,3,1,남동향,전세 2.1억 방3 화1 17평,,네이버,2026-06-16,https://new.land.naver.com
23,홍은동,빌라,2.1억,54,16.3,3층/4층,3,-,남서향,전세 2.1억 16평 홍은동,,네이버,2026-06-16,https://new.land.naver.com
24,홍은동,빌라,2.1억,50,15.1,2층,-,-,-,이사지원금 빌라 15평,,집품,2026-06-01,https://zippoom.com
25,연희동,빌라,2.1억,50,15.1,2층,-,-,-,W빌 15평 전세 2층,,집품,2026-06-01,https://zippoom.com
26,홍제동,빌라,2.1억,50,15.1,3층/4층,3,-,남향,전세 2.1억 15평,,네이버,2026-06-16,https://new.land.naver.com
27,홍제동,빌라,2.2억,62,18.8,3층/5층,3,1,남향,전세 2.2억 방3 화1 19평,,네이버,2026-06-16,https://new.land.naver.com
28,홍제동,다가구,2.2억,58,17.5,2층/3층,3,1,남동향,전세 2.2억 올수리 17평,,네이버,2026-06-16,https://new.land.naver.com
29,연희동,빌라,2.2억,57,17.2,2층/3층,3,1,남향,전세 2.2억 17평 연희동,,네이버,2026-06-16,https://new.land.naver.com
30,홍제동,빌라,2.2억,53,16.0,4층/4층,3,1,남동향,조용하며 살기좋은곳 융자금없는 탑층,하나공인중개사,네이버,2026-06-04,https://new.land.naver.com
31,홍제동,빌라,2.25억,64,19.4,3층/3층,-,-,-,사랑채빌라 19평 전세 3층,,집품,2023-12-03,https://zippoom.com
32,홍제동,빌라,2.3억,63,19.1,중층,3,1,-,굿모닝빌 19평 전세 세무서10길,,집품,2026-02-13,https://zippoom.com
33,홍은동,빌라,2.3억,61,18.5,3층/4층,3,1,남향,전세 2.3억 18평 홍은동,,네이버,2026-06-16,https://new.land.naver.com
34,북가좌동,빌라,2.3억,60,18.1,2층,-,-,-,뉴월드빌 18평 전세,,집품,2026-04-10,https://zippoom.com
35,홍제동,빌라,2.3억,60,18.1,3층/4층,3,-,남서향,전세 2.3억 방3개 화1 18평,,네이버,2026-06-16,https://new.land.naver.com
36,홍제동,빌라,2.3억,59,17.8,3층/4층,3,1,남서향,전세 2.3억 18평,,네이버,2026-06-16,https://new.land.naver.com
37,홍제동,다가구,2.3억,58,17.5,2층/3층,3,1,남동향,전세 2.3억 18평 올수리,,네이버,2026-06-16,https://new.land.naver.com
38,홍제동,빌라,2.3억,56,16.9,3층/4층,3,1,남동향,전세 2.3억 17평,,네이버,2026-06-16,https://new.land.naver.com
39,홍제동,다가구,2.4억,61,18.5,2층/3층,3,1,남향,전세 2.4억 18평 올수리,,네이버,2026-06-16,https://new.land.naver.com
40,홍제동,빌라,2.4억,60,18.1,2층/4층,3,1,남서향,전세 2.4억 방3 화1 18평,,네이버,2026-06-16,https://new.land.naver.com
41,홍제동,빌라,2.4억,58,17.5,4층/4층,4,2,남동향,건축주거주 넓고쾌적 옥상전용 특별한전세,새서울부동산,네이버,2026-06-08,https://new.land.naver.com
42,연희동,빌라,2.4억,58,17.5,2층/3층,3,1,남서향,전세 2.4억 18평 연희동,,네이버,2026-06-16,https://new.land.naver.com
43,남가좌동,빌라,2.4억,53,16.0,4층,-,-,-,명지대사거리 도보5분 투룸 16평,,당근,2026-06-01,https://www.daangn.com
44,홍제동,빌라,2.5억,82,24.8,4층,3,2,-,홍제진명빌라 24평 전세 4층,,집품,2024-01-10,https://zippoom.com
45,남가좌동,빌라,2.5억,76,23.0,2층,-,-,-,황제빌라 23평 전세 2층,,집품,2024-07-13,https://zippoom.com
46,홍제동,빌라,2.5억,62,18.8,2층/4층,3,2,남동향,전세 2.5억 방3 화2 19평,,네이버,2026-06-16,https://new.land.naver.com
47,홍은동,다가구,2.5억,60,18.1,2층/3층,3,1,남동향,전세 2.5억 방3 화1 18평,,네이버,2026-06-16,https://new.land.naver.com
48,홍제동,빌라,2.5억,58,17.5,2층/4층,3,2,남동향,평지 방3 화2 주차가능 집보기가능,만복공인중개사,네이버,2026-06-04,https://new.land.naver.com
49,홍제동,다세대,2.5억,58,17.5,3층/4층,3,2,남동향,은비빌라 방3 화2 중층,동아공인중개사,네이버,2026-05-19,https://new.land.naver.com
50,홍제동,빌라,2.5억,58,17.5,3층/4층,3,2,남동향,방3 화2 중층 17평,,네이버,2026-06-08,https://new.land.naver.com
51,홍제동,다가구,2.5억,53,16.0,3층/3층,3,1,남동향,올수리 홍제역5분 평지 즉시입주,부동산뱅크,네이버,2026-06-12,https://new.land.naver.com
52,홍제동,다가구,2.5억,53,16.0,2층/2층,3,1,동향,올수리 소형평수 16평,,네이버,2026-06-11,https://new.land.naver.com
53,홍제동,다가구,2.5억,53,16.0,2층/2층,3,1,동향,홍제역도보3분 내부올수리 2층독채 옥상사용,부동산뉴스,네이버,2026-06-11,https://new.land.naver.com
54,홍제동,단독,2.5억,53,16.0,2층/2층,3,1,남향,새로수리된3룸 홍제역바로뒤편,탑공인중개사,네이버,2026-06-10,https://new.land.naver.com
55,홍제동,상가주택,2.5억,53,16.0,3층/3층,3,1,남동향,올수리 초등학교인접 전철3분거리 시장마트근접,이편한세상,네이버,2026-06-01,https://new.land.naver.com
56,연희동,빌라,2.5억,50,15.1,3층,-,-,-,연희하이빌 15평 전세,,집품,2026-03-02,https://zippoom.com
57,응암동,빌라,2.5억,50,15.1,3층,-,-,-,녹번역11분 15평 3층,,당근,2026-06-01,https://www.daangn.com
58,홍은동,빌라,2.5억,52,15.7,중층,2,-,남동향,스위스그랜드호텔 호제 전용 큰 2룸,,집품,2026-06-16,https://zippoom.com
59,홍은동,빌라,2.5억,50,15.1,중층,-,-,남동향,마을버스정류장 2분거리 조용한 주거지 넓은 2룸,,집품,2026-06-16,https://zippoom.com
60,홍은동,빌라,2.67억,62,18.8,2층,-,-,-,삼성빌라 18평 2층,,호갱노노,2025-04-27,https://hogangnono.com
61,남가좌동,빌라,2.8억,69,20.9,2층,-,-,-,황금빌라 20평 전세,,집품,2022-07-14,https://zippoom.com
62,홍은동,빌라,2.8억,62,18.8,2층,-,-,-,삼성빌라 18평 2층,,호갱노노,2025-03-26,https://hogangnono.com
63,홍은동,빌라,2.94억,62,18.8,3층,-,-,-,삼성빌라 18평 3층,,호갱노노,2025-05-20,https://hogangnono.com
64,연희동,빌라,3억,81,24.5,3층,-,-,-,대호빌라 24평 전세 3층,,집품,2024-12-01,https://zippoom.com
65,홍은동,빌라,3.05억,62,18.8,3층,-,-,-,삼성빌라 18평 3층,,호갱노노,2025-06-14,https://hogangnono.com
66,연희동,빌라,3.1억,60,18.1,3층,3,1,-,연희동 613-2 18평 전세 3층 (26.06),,아파트미,2026-06-03,https://apt2.me
67,홍제동,단독,3.7억,92,27.8,3층/3층,3,-,남서향,올수리된 큰집 바로볼수있음,남가좌부동산,네이버,2026-06-15,https://new.land.naver.com
68,참고,검색플랫폼,-,0,0,직방→빌라·투룸+→전세,-,-,-,직방 웹 https://www.zigbang.com,,직방,-,https://www.zigbang.com
69,참고,검색플랫폼,-,0,0,다방→주택/빌라→전세,-,-,-,다방 웹 https://www.dabangapp.com,,다방,-,https://www.dabangapp.com
70,참고,검색플랫폼,-,0,0,빌라·주택→서대문구→전세,-,-,-,피터팬 웹 https://www.peterpanz.com,,피터팬,-,https://www.peterpanz.com
